"year","month","day","td_ge","dt","luna_num","saros","eclipse_type","gamma","magnitude","lat_ge","lng_ge","lat_dd_ge","lng_dd_ge","sun_alt","sun_azm","path_width","central_duration","duration_secs","cat_no","canon_plate","julian_date","t0","x0","x1","x2","x3","y0","y1","y2","y3","d0","d1","d2","mu0","mu1","mu2","l10","l11","l12","l20","l21","l22","tan_f1","tan_f2","tmin","tmax","etype","PNS","UNS","NCN","nSer","nSeq","nJLE"
1909,6,17,"23:18:38",9.60000000,-1120,145,"H",.89567000,1.00647000,"82.9N","123.6E",82.88382000,123.56885000,26.00000000,110.00000000,51.10000000,"00m24s",23.60000000,9302.00000000,466.00000000,2418475.47100000,23.00000000,-.28289000,.54248810,.00001560,-.00000761,.86662400,.06997720,-.00019970,-.00000108,23.39076000,.00101900,-.00000500,164.84415000,14.99916000,.00000000,.54634700,.00012540,-.00001120,.00020900,.00012480,-.00001120,.00460130,.00457840,-3.00000000,3.00000000,3,1,0,0,77,16,10
1909,12,12,"19:44:48",10.30000000,-1114,150,"P",-1.24559000,.54242000,"65.0S","86.0E",-65.03450000,86.04480000,.00000000,158.30000000,.00000000,"00m00s",.00000000,9303.00000000,466.00000000,2418653.32300000,20.00000000,-.08079900,.51614750,.00004730,-.00000640,-1.25000800,-.08883540,.00021050,.00000125,-23.08566100,-.00290700,.00000600,121.54970000,14.99650000,.00000000,.56511900,-.00011050,-.00001060,.01888700,-.00010990,-.00001060,.00475070,.00472700,-3.00000000,3.00000000,4,-1,-1,-1,71,11,10
1910,5,9,"05:42:13",10.80000000,-1109,117,"T",-.94373000,1.05999000,"48.2S","125.2E",-48.17796000,125.23792000,18.80000000,328.00000000,594.50000000,"04m15s",255.30000000,9304.00000000,466.00000000,2418800.73800000,6.00000000,.51112400,.54134830,.00001200,-.00000911,-.81195900,.21658670,-.00006280,-.00000383,17.12908000,.01076400,-.00000400,270.91183000,15.00196000,.00000000,.53211700,.00001520,-.00001280,-.01395000,.00001510,-.00001280,.00463000,.00460690,-3.00000000,3.00000000,1,-1,0,0,71,63,1
1910,11,2,"02:08:32",11.50000000,-1103,122,"P",1.06032000,.85148000,"61.9N","155.1W",61.91861000,-155.08643000,.00000000,238.00000000,.00000000,"00m00s",.00000000,9305.00000000,466.00000000,2418977.58900000,2.00000000,.37179100,.45999400,.00001550,-.00000508,.99559000,-.20818320,.00004190,.00000246,-14.43575000,-.01286000,.00000300,214.08025000,15.00141000,.00000000,.57215600,.00003960,-.00000990,.02588900,.00003940,-.00000980,.00471400,.00469050,-3.00000000,3.00000000,4,1,1,1,70,52,1
1911,4,28,"22:27:22",12.20000000,-1097,127,"T",-.22939000,1.05617000,"1.9N","151.9W",1.93610000,-151.92188000,76.80000000,336.10000000,189.80000000,"04m57s",297.40000000,9306.00000000,466.00000000,2419155.43600000,22.00000000,-.14277000,.52283100,.00005560,-.00000844,-.31793900,.24002920,-.00006370,-.00000406,14.01622000,.01260300,-.00000300,150.62427000,15.00290000,.00000000,.53609600,-.00006530,-.00001250,-.00999200,-.00006500,-.00001250,.00464220,.00461900,-3.00000000,3.00000000,1,0,0,0,82,52,4
1911,10,22,"04:13:02",12.80000000,-1091,132,"A",.32242000,.96497000,"6.3N","121.4E",6.25441000,121.36566000,71.20000000,206.30000000,132.70000000,"03m47s",227.40000000,9307.00000000,466.00000000,2419331.67600000,4.00000000,.04268600,.47094850,.00001070,-.00000588,.33949500,-.23716290,.00004940,.00000314,-10.63879000,-.01430300,.00000200,243.81598000,15.00284000,.00000000,.56052500,.00011920,-.00001070,.01431600,.00011860,-.00001060,.00469940,.00467600,-3.00000000,3.00000000,2,0,0,0,71,40,4
1912,4,17,"11:34:22",13.50000000,-1085,137,"H",.52796000,1.00032000,"38.4N","11.3W",38.35985000,-11.25079000,57.90000000,145.90000000,1.30000000,"00m02s",1.60000000,9308.00000000,466.00000000,2419509.98200000,12.00000000,-.02970300,.48682680,.00004900,-.00000669,.57627500,.24535260,-.00007830,-.00000357,10.44515000,.01407800,-.00000200,.09595000,15.00364000,.00000000,.54994300,-.00013330,-.00001130,.00378600,-.00013260,-.00001120,.00465580,.00463270,-3.00000000,3.00000000,3,1,0,0,70,30,20
1912,10,10,"13:36:14",14.20000000,-1079,142,"T",-.41486000,1.02287000,"28.1S","40.1W",-28.09372000,-40.07190000,65.30000000,31.90000000,84.90000000,"01m55s",115.00000000,9309.00000000,466.00000000,2419686.06700000,14.00000000,-.00022300,.49457030,.00000600,-.00000740,-.47070300,-.26537070,.00006720,.00000416,-6.63929000,-.01516100,.00000100,33.23668000,15.00395000,.00000000,.54430400,.00010160,-.00001200,-.00182500,.00010110,-.00001200,.00468430,.00466100,-3.00000000,3.00000000,1,0,0,0,72,17,20
1913,4,6,"17:33:07",14.80000000,-1073,147,"P",1.31474000,.42435000,"61.2N","175.7E",61.18537000,175.70258000,.00000000,76.60000000,.00000000,"00m00s",.00000000,9310.00000000,466.00000000,2419864.23100000,18.00000000,-.41713300,.45350530,.00004760,-.00000525,1.26790800,.24257790,-.00007970,-.00000299,6.42140000,.01516100,-.00000100,89.36885000,15.00411000,.00000000,.56523000,-.00009300,-.00001010,.01899700,-.00009260,-.00001010,.00467090,.00464770,-3.00000000,3.00000000,4,1,1,1,80,17,10
1913,8,31,"20:52:12",15.40000000,-1068,114,"P",1.45122000,.15129000,"61.5N","26.8W",61.46196000,-26.76282000,.00000000,288.30000000,.00000000,"00m00s",.00000000,9311.00000000,466.00000000,2420011.37000000,21.00000000,.73309100,.51831480,-.00006440,-.00000871,1.25473800,-.26760650,-.00012320,.00000469,8.63896000,-.01439300,-.00000200,134.93620000,15.00447000,.00000000,.53223900,-.00002590,-.00001280,-.01383000,-.00002580,-.00001280,.00463300,.00460990,-3.00000000,3.00000000,4,1,1,1,72,71,1
1913,9,30,"04:45:49",15.50000000,-1067,152,"P",-1.10053000,.82521000,"61.0S","11.6E",-61.04631000,11.63531000,.00000000,95.30000000,.00000000,"00m00s",.00000000,9312.00000000,466.00000000,2420040.69800000,5.00000000,-.41035200,.51037040,.00002840,-.00000855,-1.03041800,-.28112810,.00007510,.00000491,-2.55059000,-.01554000,.00000000,257.43918000,15.00464000,.00000000,.53432200,.00002400,-.00001290,-.01175700,.00002390,-.00001290,.00466950,.00464630,-3.00000000,3.00000000,4,-1,-1,-1,70,7,10
1914,2,25,"00:13:01",16.00000000,-1062,119,"A",-.94159000,.92477000,"62.1S","113.3W",-62.09048000,-113.26501000,19.20000000,286.60000000,839.20000000,"05m35s",335.20000000,9313.00000000,466.00000000,2420188.50900000,.00000000,.33209800,.45408900,-.00004920,-.00000516,-.88801400,.23347220,.00008240,-.00000284,-9.47782000,.01482000,.00000200,176.64909000,15.00268000,.00000000,.57000500,.00007030,-.00001010,.02374900,.00006990,-.00001000,.00472380,.00470030,-3.00000000,3.00000000,2,-1,0,0,71,60,2
1914,8,21,"12:34:27",16.60000000,-1056,124,"T",.76546000,1.03275000,"54.5N","27.1E",54.46430000,27.06311000,39.80000000,226.50000000,169.80000000,"02m14s",134.50000000,9314.00000000,466.00000000,2420366.02400000,13.00000000,.54840700,.50701610,-.00004690,-.00000768,.58532400,-.24464130,-.00010660,.00000387,12.30848000,-.01322300,-.00000300,14.20449000,15.00373000,.00000000,.54034700,-.00011380,-.00001190,-.00576200,-.00011320,-.00001190,.00462240,.00459940,-3.00000000,3.00000000,1,1,0,0,73,49,2
1915,2,14,"04:33:20",17.20000000,-1050,129,"A",-.20238000,.97890000,"24.0S","120.7E",-24.04300000,120.73285000,78.20000000,333.40000000,76.60000000,"02m04s",123.60000000,9315.00000000,466.00000000,2420542.69000000,5.00000000,.30304000,.48843830,-.00006630,-.00000652,-.08135900,.22924270,.00007660,-.00000325,-13.38544000,.01345000,.00000300,251.40382000,15.00148000,.00000000,.55674000,.00010870,-.00001120,.01054900,.00010820,-.00001120,.00473480,.00471130,-3.00000000,3.00000000,2,0,0,0,80,46,44
